-323,2005,-379,74,768,417
-329,2000,-387,107,672,416
-336,2005,-387,5,524,455
-335,2007,-388,-17,708,463
-331,2002,-389,58,502,409
-324,1996,-390,-8,295,375
-327,1999,-387,-50,184,451
-332,2004,-388,-21,114,471
-328,2001,-393,-84,105,440
-321,2006,-397,-188,233,477
-318,2012,-398,-108,315,494
-322,2018,-401,-259,72,464
-321,2021,-395,-350,219,460
-317,2019,-392,-349,240,492
-316,2015,-390,-344,48,541
-311,2012,-388,-457,160,507
-304,2007,-385,-435,282,413
-299,2003,-385,-465,249,343
-299,1998,-381,-460,241,294
-301,1996,-379,-462,273,291
-299,1998,-378,-507,255,261
-298,2000,-378,-471,396,222
-309,2003,-377,-420,89,180
-317,2007,-371,-406,213,145
-314,2008,-366,-300,236,110
-314,2007,-365,-219,95,95
-316,2003,-363,-247,-14,105
-316,2001,-363,-167,75,109
-322,2003,-363,-61,135,136
-322,2005,-364,-51,92,130
-321,2007,-363,38,97,85
-322,2006,-369,135,11,22
-322,2005,-367,66,71,-2
-326,2007,-367,71,-52,-35
-320,2008,-365,49,36,-23
-320,2009,-367,81,57,-44
-321,2010,-366,44,174,-51
-322,2010,-369,48,207,-58
-324,2007,-373,85,13,-27
-323,2002,-379,56,87,-20
-326,1998,-381,71,113,-1
-322,2000,-379,171,84,-4
-318,1999,-383,228,-51,-48
-316,2002,-385,247,-64,-62
-316,2007,-383,206,83,-20
-314,2006,-383,203,189,-12
-309,2004,-385,160,292,40
-312,2008,-385,140,222,54
-321,2013,-385,122,192,71
-321,2013,-385,77,211,97
-314,2010,-386,84,268,108
-311,2009,-387,95,299,82
-312,2009,-388,12,218,68
-315,2004,-389,-59,177,89
-312,1998,-388,-46,182,102
-311,1998,-390,-106,322,61
-313,1998,-392,4,94,53
-308,1997,-392,-74,317,63
-307,1996,-393,-76,401,53
-312,1997,-395,2,292,47
-321,1998,-404,41,172,92
-326,1998,-405,89,311,109
-329,1997,-404,171,145,93
-323,2000,-399,106,128,89
-319,2003,-396,133,239,57
-320,2002,-396,106,197,40
-320,2001,-394,65,190,28
-322,2005,-394,-3,148,-1
-327,2007,-394,35,69,20
-333,2006,-393,-2,68,28
-332,2006,-389,-74,120,5
-330,2006,-390,-75,17,-13
-330,2008,-390,-80,-13,-24
-327,2008,-390,-52,-11,-33
-326,2006,-389,-88,63,-11
