40,1840,-975,166,86,-34
52,1834,-982,219,70,-75
62,1835,-993,282,194,-155
57,1833,-1001,294,375,-173
38,1835,-997,262,471,-126
27,1840,-985,233,384,-45
33,1843,-976,243,145,-5
50,1844,-976,226,37,-101
56,1841,-982,288,312,-182
44,1838,-987,312,412,-150
32,1837,-989,273,198,-92
32,1841,-983,214,255,-27
43,1842,-976,197,338,-60
52,1841,-977,207,373,-86
54,1838,-982,283,351,-121
46,1837,-987,327,398,-206
35,1840,-985,273,409,-182
31,1840,-978,276,358,-83
34,1844,-977,267,304,-48
38,1841,-982,232,255,-65
44,1837,-983,265,313,-115
47,1837,-985,306,317,-97
44,1839,-985,277,415,-110
42,1836,-982,342,429,-86
41,1837,-982,340,440,-123
44,1840,-981,279,419,-72
50,1840,-981,337,287,-74
55,1837,-984,373,330,-156
52,1838,-987,376,578,-253
45,1838,-985,308,469,-111
40,1839,-984,332,435,-87
40,1839,-984,285,345,-83
45,1835,-989,382,335,-137
53,1837,-991,333,629,-152
54,1839,-990,275,561,-102
47,1841,-986,310,591,-86
42,1843,-982,227,418,-90
41,1837,-984,339,173,-48
42,1830,-995,419,134,-126
43,1823,-1006,509,309,-231
49,1821,-1013,599,532,-237
60,1828,-1016,570,597,-207
63,1838,-1011,485,765,-212
54,1837,-1002,386,838,-207
40,1837,-991,416,652,-135
32,1837,-991,404,183,-80
36,1830,-992,422,58,-149
52,1828,-995,503,329,-218
65,1836,-1002,348,518,-246
71,1838,-998,187,663,-144
66,1833,-988,170,763,-106
56,1829,-989,295,541,-169
53,1825,-998,418,483,-268
50,1823,-1009,522,535,-308
48,1823,-1014,467,675,-312
47,1830,-1012,369,665,-287
52,1834,-1005,262,660,-175
59,1833,-998,201,565,-139
51,1828,-999,248,548,-167
33,1822,-1012,346,299,-205
22,1818,-1022,415,253,-241
23,1819,-1021,354,403,-195
32,1820,-1018,371,360,-170
44,1828,-1015,268,471,-174
52,1835,-1011,157,610,-145
53,1835,-1002,180,551,-96
46,1832,-1000,230,377,-92
32,1827,-1004,278,271,-107
20,1827,-1005,289,86,-87
20,1827,-1003,170,27,-23
32,1830,-1003,253,-97,67
51,1831,-1019,205,85,-40
61,1821,-1029,309,388,-114
61,1818,-1035,304,628,-156
51,1823,-1029,289,693,-113
41,1832,-1017,154,630,-49
31,1829,-1005,166,418,27
25,1826,-1002,295,106,31
30,1829,-1005,243,-192,13
46,1830,-1005,193,-43,-9
61,1827,-1003,176,141,-8
67,1826,-1012,178,258,-5
71,1824,-1013,230,363,-72
70,1827,-1012,234,506,-103
61,1822,-1010,307,346,-71
51,1821,-1010,301,205,-84
48,1825,-1010,302,264,-99
52,1829,-1005,215,274,-68
55,1831,-1004,168,185,-60
52,1827,-1008,235,110,-50
45,1820,-1018,351,47,-64
42,1820,-1024,344,197,-130
41,1825,-1020,252,358,-50
46,1829,-1011,116,236,63
50,1825,-1009,188,-29,68
51,1824,-1016,261,101,-32
45,1824,-1021,263,254,-128
34,1824,-1020,231,91,-32
32,1821,-1020,236,-40,15
42,1821,-1023,293,98,12
54,1824,-1022,272,376,-23
