5,2055,-10,45,182,147
2,2056,-9,-13,185,113
-2,2058,-22,-98,40,126
1,2057,-26,-43,113,124
-1,2059,-35,-44,70,142
-5,2062,-44,-177,86,202
-10,2060,-38,-182,155,261
-8,2056,-28,-88,141,231
1,2057,-24,-89,157,238
12,2053,-26,-204,272,215
17,2043,-25,-143,187,150
14,2045,-28,-129,116,113
5,2050,-33,-212,175,142
-3,2053,-30,-144,284,137
2,2054,-26,-105,482,125
9,2057,-29,-187,471,111
11,2057,-28,-197,444,72
9,2055,-22,-217,459,85
11,2052,-20,-155,616,39
9,2053,-20,-230,441,51
7,2055,-16,-165,534,79
5,2056,-14,-213,565,150
6,2057,-17,-187,470,162
8,2059,-20,-346,354,175
5,2057,-16,-254,480,158
1,2053,-7,-189,539,144
2,2047,-3,-43,555,78
8,2047,-6,-40,637,84
8,2050,-13,-87,708,117
3,2049,-16,-67,631,160
2,2048,-16,-164,747,207
5,2047,-6,-42,643,180
10,2048,-4,-26,633,129
10,2049,-10,-22,636,130
4,2051,-8,-19,481,146
-5,2054,-16,-9,197,164
-17,2059,-23,-278,102,196
-20,2053,-14,-55,223,222
-9,2049,-13,-52,91,220
1,2049,-9,-46,137,167
11,2044,-10,-77,158,138
16,2044,-11,10,176,140
10,2049,-14,-2,93,147
6,2054,-17,54,250,98
3,2055,-21,95,336,130
5,2059,-18,119,412,97
4,2057,-17,147,338,134
7,2055,-23,88,293,122
13,2053,-21,7,523,108
12,2048,-19,36,480,112
9,2046,-20,38,404,105
0,2050,-23,17,262,126
-5,2051,-26,48,181,150
-2,2055,-27,63,253,172
2,2058,-25,0,349,178
6,2061,-22,4,276,186
4,2065,-15,-73,267,238
0,2065,-12,-56,136,233
1,2064,-10,-91,88,209
7,2059,-8,-18,152,197
13,2052,-13,-76,162,166
18,2047,-15,-105,384,157
13,2040,-12,128,124,144
10,2039,-19,41,124,169
9,2038,-26,112,51,189
14,2040,-29,159,451,159
9,2045,-44,40,153,116
-5,2050,-48,-27,200,205
-11,2049,-38,48,163,228
-3,2049,-29,223,-36,164
14,2052,-35,17,242,158
19,2051,-33,-50,56,195
21,2054,-27,-7,57,143
19,2056,-31,34,164,128
18,2056,-35,-15,74,149
19,2052,-37,97,200,131
20,2049,-41,22,237,122
22,2047,-43,0,190,124
21,2047,-47,-82,137,134
17,2048,-47,-42,84,165
12,2052,-48,-118,32,196
14,2052,-43,-8,50,133
23,2050,-42,49,162,80
29,2048,-48,-18,245,44
28,2049,-48,-64,356,52
22,2052,-49,-7,358,115
15,2057,-50,-96,353,125
7,2064,-46,-88,328,172
5,2069,-42,-55,352,189
11,2069,-41,-65,336,135
20,2067,-41,-148,407,142
21,2060,-38,-181,402,114
17,2055,-32,-228,362,79
7,2051,-36,-364,204,145
9,2047,-26,-244,310,184
15,2051,-32,-269,199,131
14,2058,-44,-314,58,135
10,2056,-42,-374,225,151
7,2044,-33,-163,81,146
11,2037,-34,-213,13,145
21,2025,-35,-127,108,122
25,2026,-40,-105,138,131
18,2041,-43,-186,58,161
11,2049,-39,-97,-37,231
16,2052,-37,-42,134,210
25,2055,-36,-140,226,180
26,2057,-29,-113,120,185
26,2060,-29,-236,107,215
25,2063,-29,-200,134,191
27,2065,-25,-300,141,191
24,2062,-19,-253,118,208
21,2057,-14,-240,127,231
21,2054,-12,-294,185,197
24,2050,-12,-222,66,179
25,2050,-15,-188,-4,159
23,2048,-22,-109,-11,161
18,2048,-29,-166,66,162
20,2047,-27,-104,181,149
27,2044,-28,-8,290,119
37,2044,-33,-52,363,99
