-74,2036,125,121,144,121
-72,2041,128,74,258,159
-73,2044,132,39,278,197
-71,2048,134,51,220,145
-79,2052,131,104,14,183
-82,2050,132,62,20,151
-85,2049,132,94,-3,170
-80,2053,134,73,79,92
-80,2055,135,25,134,129
-73,2051,139,-73,364,157
-75,2047,138,-113,377,183
-80,2041,137,-121,449,174
-85,2039,133,-25,334,168
-81,2041,131,-81,334,94
-77,2042,133,-75,484,32
-79,2038,136,-6,299,13
-85,2039,137,1,441,13
-95,2045,125,60,196,29
-91,2047,120,90,302,30
-85,2044,119,31,326,9
-81,2039,123,-17,431,-15
-88,2037,124,60,268,48
-85,2038,123,124,249,58
-84,2042,124,125,268,72
-84,2048,123,58,202,35
-88,2054,117,39,119,57
-88,2054,114,-10,128,70
-92,2050,115,-21,160,45
-89,2045,122,-9,145,70
-86,2040,126,103,-79,120
-82,2037,128,109,142,152
-84,2037,128,92,381,144
-86,2037,130,169,218,114
-83,2039,127,143,166,118
-83,2037,125,208,112,76
-85,2040,121,220,13,87
-87,2045,120,206,41,67
-88,2051,119,54,181,68
-91,2052,115,64,177,57
-91,2051,112,-41,219,70
-87,2051,112,-79,460,52
-93,2048,111,-102,521,31
-93,2044,107,4,466,9
-90,2051,101,-29,258,15
-86,2057,95,-19,227,-22
-89,2059,96,41,415,-66
-92,2060,94,-96,549,-75
-98,2052,87,-39,220,-65
-100,2050,84,167,209,37
-100,2055,75,-76,357,114
-93,2051,87,-35,348,115
-82,2050,100,26,411,116
-81,2050,101,-19,310,99
-84,2047,99,28,261,164
-89,2039,98,81,295,119
-94,2039,100,-41,218,118
-88,2043,105,71,273,132
-84,2049,104,-121,170,150
-82,2045,106,-73,218,188
-86,2040,105,-77,177,193
-89,2037,104,40,241,189
-93,2041,104,-76,287,209
-89,2048,105,-114,254,212
-83,2050,104,-89,257,162
-86,2049,104,-101,420,159
-96,2047,101,27,294,175
-94,2050,100,-40,191,140
-91,2052,102,-48,148,131
-91,2047,101,-105,261,100
-94,2043,100,-91,295,162
-96,2041,100,-77,323,141
-96,2038,97,-92,323,127
-96,2036,95,-161,263,156
-92,2034,95,-244,318,181
-92,2029,93,-172,382,91
-97,2035,97,-129,396,68
-99,2046,97,47,194,72
-90,2062,93,12,163,87
-95,2066,90,7,-1,60
-98,2073,97,15,102,116
-98,2077,95,-122,321,148
-91,2065,100,-204,451,179
-79,2050,106,-175,330,228
-81,2042,104,-82,182,255
-84,2039,102,61,136,156
-90,2042,96,126,58,128
-88,2049,95,25,19,73
-80,2053,93,-93,-12,52
-75,2047,91,-72,70,72
-75,2039,92,78,151,74
-79,2040,90,78,320,159
-81,2046,86,-10,385,150
-79,2055,83,-85,365,175
-75,2055,89,-86,346,146
-74,2053,97,-112,327,181
-78,2047,97,-61,316,153
-84,2044,97,-3,144,168
-82,2044,99,-110,82,150
-80,2045,105,-146,169,157
-76,2044,106,-137,200,139
-78,2039,106,-64,180,171
-79,2040,100,-75,246,199
-84,2041,100,-26,71,194
-81,2046,101,-101,130,148
-78,2046,103,-74,131,121
-81,2045,101,-26,179,166
-78,2044,101,-137,348,152
-82,2041,105,-84,289,130
-79,2042,108,-127,268,150
-82,2037,108,16,3,102
-84,2040,106,52,68,181
-92,2045,95,-96,277,214
-91,2041,96,-47,273,150
-90,2041,101,-46,254,123
-87,2041,105,-69,358,66
-87,2036,105,-24,323,95
-86,2036,105,46,221,136
-86,2045,100,93,103,88
-85,2051,90,121,164,38
-90,2057,85,70,88,-16
-93,2057,83,69,199,-42
-91,2056,83,59,190,-59
-88,2049,84,80,232,-11
-85,2045,84,102,200,55
-83,2043,85,64,198,94
-83,2043,82,126,126,124
-81,2045,83,89,101,140
-85,2048,78,60,92,96
-85,2050,79,149,11,95
-83,2056,79,131,-27,101
-82,2059,75,116,42,119
-83,2059,71,35,56,105
-85,2057,70,20,2,125
-83,2051,72,87,33,135
-80,2051,73,42,111,166
-74,2051,78,-54,224,199
-70,2049,82,-105,264,174
-72,2046,81,-117,261,179
-81,2041,77,42,220,152
-90,2046,69,-66,120,87
-88,2050,73,-14,65,61
-84,2055,71,-99,118,21
-80,2053,67,-108,198,3
-83,2050,69,-41,149,36
-89,2051,62,-178,176,102
-85,2044,72,-39,209,120
-77,2046,77,-115,393,122
-80,2045,78,-125,301,102
-82,2045,77,-47,277,121
-83,2046,81,-30,203,48
-81,2050,78,-97,243,43
-82,2052,80,-1,225,-7
-85,2052,78,-78,281,26
-90,2050,76,-53,196,65
-91,2046,71,-18,191,56
-84,2048,70,-62,267,40
-81,2046,73,-99,276,60
-87,2044,72,-117,303,93
-89,2044,77,-57,242,96
-87,2046,76,-99,218,68
-85,2048,80,-48,230,70
-83,2050,77,-102,211,63
-84,2052,74,-59,219,49
-85,2053,75,-68,233,21
-84,2054,71,-154,360,26
-90,2052,69,-136,165,57
-88,2048,70,-112,181,63
-91,2044,71,-104,219,100
-93,2041,72,-38,217,65
-91,2044,75,-112,234,54
-90,2048,81,-63,243,43
-89,2049,78,-137,232,68
-94,2044,77,-86,212,104
-97,2040,76,-12,216,116
-96,2047,74,0,23,77
-85,2053,76,-66,120,54
-86,2052,75,-69,189,36
-88,2049,74,31,276,-17
-88,2050,75,-118,372,0
-92,2051,75,-51,490,54
-90,2051,80,-142,604,105
-91,2049,82,-40,503,95
-93,2045,82,-107,478,106
-99,2037,86,-114,406,85
-103,2029,91,-43,244,31
-104,2029,82,2,110,18
-105,2036,75,155,-82,-20
-107,2053,66,39,-339,-15
-106,2061,63,24,-281,-16
-105,2063,62,15,-185,-27
-103,2061,59,-22,-94,10
-96,2057,59,-61,28,88
-86,2052,60,-25,110,156
-83,2049,60,2,109,196
-87,2048,63,74,93,196
-96,2049,59,51,115,174
-103,2051,53,14,137,164
-104,2048,51,10,102,170
-97,2046,52,1,115,170
-88,2047,59,-87,200,200
-85,2047,69,-27,269,204
-95,2054,71,-155,301,228
-97,2058,72,-192,360,262
-93,2060,74,-296,349,153
-87,2058,75,-294,360,80
-92,2051,70,-214,296,57
-98,2047,67,-188,308,37
-100,2048,67,-357,281,38
-94,2042,73,-192,371,35
-94,2039,68,-285,449,86
-97,2037,63,-150,349,120
-101,2039,59,-84,125,136
-99,2045,58,-52,42,108
-100,2051,62,-42,100,111
-93,2052,65,-138,173,90
-93,2049,65,-50,152,154
-97,2051,66,-14,196,241
-98,2054,69,-57,223,292
-94,2056,82,-126,190,273
-91,2052,86,-129,151,218
-95,2047,83,-15,157,195
-95,2046,84,43,303,153
-90,2053,84,-40,337,120
-88,2054,88,-115,267,129
-87,2050,88,-177,262,135
-88,2046,88,-109,403,154
-91,2046,88,-56,330,139
-93,2046,83,-24,300,97
-91,2044,77,-107,269,109
-90,2040,74,-53,217,66
-92,2036,72,-5,150,62
-92,2033,67,117,49,61
-94,2038,63,113,171,97
-97,2042,59,61,192,116
-94,2044,55,63,127,130
-90,2043,51,130,74,151
-84,2044,53,157,141,110
-84,2047,57,186,161,116
-89,2052,56,177,87,137
-92,2057,54,113,129,192
-92,2059,57,86,130,186
-86,2058,56,76,262,183
-85,2056,59,83,322,206
-85,2049,61,70,311,221
-82,2048,58,63,238,176
-84,2047,56,81,89,172
-83,2049,58,41,82,165
-83,2049,57,-16,348,159
-90,2050,59,-120,402,136
-90,2051,61,-72,396,189
-88,2051,57,-85,366,175
-85,2049,57,-87,314,129
-80,2044,55,-85,364,96
-83,2041,56,-59,309,60
-93,2049,48,43,277,117
-95,2056,43,-53,303,123
-91,2057,45,-87,270,133
-81,2053,52,-110,396,133
-80,2048,56,-32,279,135
-78,2048,52,-17,197,135
-79,2050,49,25,223,130
-78,2056,48,-57,247,120
-77,2059,50,-56,201,102
-83,2063,48,-141,108,99
-84,2060,51,-110,183,141
-83,2053,50,-42,144,133
-77,2052,50,-59,379,111
-78,2048,53,-110,400,157
-80,2043,51,-133,307,195
-79,2040,52,-75,327,191
-84,2042,51,-62,318,164
-85,2043,52,-33,278,139
-84,2045,56,-65,193,130
-80,2044,55,15,71,113
-80,2045,55,12,98,107
-80,2048,54,-2,98,130
-80,2051,58,3,158,143
-73,2051,60,-93,199,131
-72,2048,57,-68,236,166
-75,2046,58,-32,221,160
-77,2044,59,-39,308,160
-77,2045,62,-100,368,143
-78,2048,62,-12,336,124
-78,2052,57,-56,377,97
-84,2050,54,-36,388,83
-88,2051,53,-58,345,104
-87,2047,51,-126,443,82
-87,2041,51,-25,324,68
-81,2035,54,-37,313,25
-81,2039,56,3,325,90
-92,2050,45,8,389,134
-93,2052,38,-82,505,128
-97,2050,39,25,197,174
-95,2048,40,139,-48,171
-94,2049,40,219,-169,193
-91,2049,35,218,-277,170
-80,2051,37,239,-157,139
-74,2054,38,175,-22,173
-76,2054,37,179,68,184
-75,2055,35,72,179,153
-74,2054,38,98,157,165
-71,2055,38,13,211,145
-70,2050,40,-6,410,107
-73,2048,40,5,493,93
-80,2049,34,30,299,75
-83,2048,26,110,242,66
-86,2049,18,44,279,93
-84,2050,17,61,310,59
-78,2052,19,15,331,105
-75,2052,22,2,337,122
-75,2053,25,28,293,161
-75,2054,24,-3,214,192
-76,2054,24,27,250,177
-77,2053,25,-30,270,170
-78,2056,26,-37,302,140
-75,2057,27,-3,332,139
-75,2059,20,-47,229,179
-76,2056,17,-25,294,160
-79,2055,20,-21,300,119
-78,2056,26,-127,340,156
-74,2051,31,-132,448,154
-72,2042,28,-148,271,154
-68,2039,28,-12,243,219
-82,2049,18,-4,152,270
-83,2055,15,-58,265,205
-80,2058,22,-77,214,226
-73,2058,27,-81,248,255
-70,2051,28,-3,238,277
-70,2043,26,33,177,302
-70,2039,28,79,157,263
-69,2042,30,43,153,255
-69,2044,30,17,158,237
-68,2049,28,33,147,208
-68,2051,30,61,182,166
-72,2052,27,50,214,178
-78,2052,23,83,196,207
-74,2052,25,-52,191,196
-67,2051,31,-42,192,202
-62,2050,29,-14,164,182
-63,2049,26,-19,193,177
-71,2047,21,-35,180,109
-74,2044,18,48,125,105
-76,2046,15,9,14,67
-74,2043,9,111,-11,92
-71,2046,6,39,72,121
-65,2051,6,-11,198,129
-63,2057,8,2,123,135
-65,2060,9,-31,84,179
-65,2059,8,-64,108,150
-65,2056,11,-90,162,162
-62,2056,12,-162,233,186
-59,2055,15,-148,328,189
-61,2053,13,-172,263,189
-66,2051,11,-17,116,114
-66,2051,10,-117,108,85
-65,2050,14,-84,79,91
-66,2055,16,-153,160,167
-62,2054,10,-143,250,222
-58,2052,12,-57,354,208
-55,2050,12,-135,365,190
-58,2043,20,-111,366,199
-61,2039,22,72,387,207
-64,2040,17,78,407,252
-63,2045,14,122,354,256
-57,2051,14,75,313,198
-56,2056,11,64,245,149
-56,2061,10,-11,200,103
-56,2060,15,-98,301,69
-56,2056,17,-149,371,71
-53,2054,17,-146,335,56
-50,2049,18,-120,309,74
-53,2050,20,-138,299,87
-59,2051,22,-147,360,75
-66,2046,18,-113,193,79
-70,2042,13,-49,61,69
-65,2044,6,-22,43,65
-57,2045,7,31,93,73
-55,2047,9,-36,-16,90
-54,2047,11,-19,-22,137
-56,2047,13,12,-56,162
-60,2048,7,21,-55,134
-61,2048,6,53,49,135
-59,2051,10,-12,79,168
-53,2053,10,-34,135,136
-53,2054,9,-77,131,150
-51,2053,9,-50,132,162
-53,2052,12,-95,201,142
-53,2051,15,-96,149,100
-52,2051,15,-190,202,50
-50,2053,12,-65,165,94
-56,2060,1,-229,226,96
-61,2058,6,-127,277,67
-61,2057,11,-156,331,33
-63,2053,7,-198,263,16
-62,2050,6,-173,246,15
-58,2048,8,-45,233,0
-53,2052,10,-126,342,-26
-57,2052,13,-134,334,-17
-64,2050,17,-165,432,44
-67,2049,15,-152,346,67
-71,2052,12,-163,202,79
-66,2051,11,-88,156,88
-65,2051,7,-175,207,41
-64,2048,13,-171,270,5
-64,2049,15,-73,247,-6
-66,2051,14,-122,195,14
-67,2054,12,-169,239,20
-69,2050,12,-94,300,65
-72,2049,10,-140,198,79
-65,2048,12,-104,214,56
-63,2050,10,-69,241,61
-65,2054,13,-89,237,56
-68,2059,14,-100,212,39
-69,2062,15,-138,333,62
-68,2059,16,-93,337,66
-66,2057,13,-141,222,92
-61,2053,12,-120,238,119
-65,2051,14,-236,321,116
-69,2046,19,-185,326,139
-70,2046,20,-163,246,124
-66,2048,20,-173,281,103
-64,2049,17,-145,240,67
-66,2049,20,-161,145,115
-71,2049,15,-91,120,147
-72,2050,17,-84,174,181
-67,2049,19,-29,176,202
-62,2050,20,-29,205,180
-60,2052,17,-53,180,171
-62,2049,21,-50,141,166
-66,2049,22,-105,106,128
-70,2051,23,-98,40,131
-69,2053,22,-23,64,138
-64,2056,21,-62,92,145
-60,2056,19,-87,80,135
-60,2053,18,-158,144,135
-63,2051,18,-133,209,127
-69,2051,19,-130,218,146
-65,2053,19,-153,209,150
-61,2055,19,-179,201,134
-63,2055,24,-226,174,135
-66,2053,23,-198,72,132
-67,2050,26,-123,-8,138
-62,2051,23,-225,21,128
-61,2050,26,-205,-82,115
-57,2047,22,-213,-65,111
-55,2044,24,-185,-3,124
-58,2045,21,-200,113,120
-57,2045,20,-123,87,123
-57,2046,21,-158,136,81
-54,2045,19,-146,148,82
-56,2045,19,-106,245,94
-58,2049,16,-129,279,115
-58,2054,19,-147,260,81
-60,2056,23,-173,253,75
-58,2054,28,-182,282,54
-52,2052,31,-164,348,39
-57,2054,32,-181,233,101
-66,2053,30,-170,175,125
-66,2053,32,-199,225,87
-64,2054,36,-206,247,88
-66,2054,38,-153,78,87
-70,2055,38,-162,54,124
-67,2051,37,-178,34,116
-60,2050,38,-206,-50,94
-53,2049,40,-177,-43,48
-57,2048,42,-180,47,21
-67,2050,40,-164,62,65
-71,2052,33,-131,25,112
-66,2053,29,-73,66,98
-58,2052,27,-189,130,102
-56,2048,29,-159,169,147
-57,2043,29,-88,219,135
-60,2043,31,-54,179,164
-62,2045,28,-40,111,171
-65,2050,30,-70,79,148
-68,2052,31,-59,83,186
-68,2051,30,-72,126,170
-67,2052,31,-53,25,175
-63,2055,32,-116,75,132
-59,2055,34,-164,79,95
-60,2052,42,-133,22,133
-58,2049,42,-118,90,131
-63,2050,39,-75,80,123
-65,2051,38,-65,98,177
-66,2057,40,-124,20,164
-63,2058,40,-169,-32,144
-60,2056,42,-181,-17,140
-55,2050,43,-153,44,116
-55,2045,42,-144,72,125
-53,2044,41,-191,191,101
-56,2041,40,-121,136,83
-58,2043,38,-88,122,138
-65,2044,28,-21,21,191
-61,2046,27,46,59,145
-51,2050,27,38,244,92
-56,2049,30,52,324,90
-57,2048,31,-4,354,126
-53,2045,33,12,317,127
-52,2042,36,41,334,103
-53,2045,37,62,372,83
-58,2052,38,-20,426,76
-64,2060,40,19,352,101
-66,2061,37,-11,219,93
-68,2060,32,-16,135,74
-66,2058,33,-66,187,58
-59,2053,36,-103,267,79
-55,2050,38,-107,305,116
-56,2045,36,-88,226,155
-59,2040,35,-92,246,141
-66,2041,31,-33,143,91
-69,2042,25,2,-56,75
-68,2044,12,-176,20,98
-67,2041,3,-426,54,89
-62,2033,-6,-555,208,22
-48,2027,-29,-581,259,-59
-25,2027,-60,-705,-385,-187
-5,2021,-109,-1110,-1279,-318
7,1999,-157,-1015,-2256,-457
20,1998,-190,-1077,-2626,-532
20,2013,-211,-994,-2446,-474
6,2040,-231,-1348,-2273,-246
14,2060,-234,-1315,-2812,40
41,2083,-230,-1559,-2742,408
71,2096,-228,-1785,-3195,669
127,2112,-220,-1463,-3248,742
180,2155,-185,-1314,-2200,671
175,2197,-158,-1259,-1653,673
160,2213,-137,-769,-372,696
113,2223,-144,-587,-253,746
84,2223,-153,-129,54,743
68,2223,-162,370,2,593
81,2232,-139,662,736,462
98,2262,-112,1197,723,413
126,2299,-68,1764,573,452
145,2336,-9,1278,1264,336
129,2319,107,1169,2266,182
85,2242,226,246,3716,85
-27,2111,359,266,4185,42
-156,1962,426,1073,3005,-71
-270,1871,405,2359,308,-211
-272,1874,372,2118,204,-592
-244,1895,350,2085,447,-1020
-182,1942,368,1937,864,-1246
-156,1960,329,2064,782,-1080
-136,1946,275,3006,-209,-1166
-131,1956,199,2859,-878,-1119
-116,1940,156,3465,-1028,-1132
-110,1937,161,3867,-629,-1258
-157,1918,222,5838,-3264,-1688
-239,1895,211,7255,-7995,-2196
-318,1854,98,10499,-9386,-2299
-406,1889,-21,13355,-12328,-1745
-384,1983,-191,8255,-5513,-1654
-305,1997,-248,6879,-1996,-1966
-203,1922,-351,6014,1705,-2350
-206,1885,-355,4078,-731,-2091
-264,1834,-323,5255,1039,-2808
-385,1863,-350,4040,1371,-2583
-447,1859,-374,4293,-1238,-2460
-371,1878,-376,4413,-2305,-2725
-282,1930,-429,2245,-4657,-2685
-219,1999,-418,1452,-3538,-2095
-256,2104,-469,-148,-4850,-1273
-230,2212,-399,-1592,-4916,-713
-186,2247,-393,-2058,-1433,-609
-205,2239,-439,-2078,-822,39
-212,2272,-407,-4005,996,504
-202,2257,-406,-4718,3612,371
